75;-1.68455e-11;1.19095e-12;3.78314e-12;5.96647e-07;1.36962e-07;-9.06636e-08;-0.0630578;-0.549516;1.17301;-0.0669127;1.49052;-0.941554
85;-1.68456e-11;1.19096e-12;3.78308e-12;5.96661e-07;1.36962e-07;-9.06632e-08;-0.0630584;-0.549517;1.17301;-0.0669138;1.49052;-0.941554
76;-1.64676e-11;1.16514e-12;3.69482e-12;5.90294e-07;1.35326e-07;-8.94482e-08;-0.0630597;-0.549517;1.17301;-0.0669155;1.49052;-0.941553
77;-1.61746e-11;1.14521e-12;3.62582e-12;5.85346e-07;1.34026e-07;-8.84703e-08;-0.0630621;-0.549516;1.17301;-0.0669178;1.49052;-0.941552
85;-1.61747e-11;1.14529e-12;3.62593e-12;5.85364e-07;1.34033e-07;-8.84766e-08;-0.0630667;-0.549516;1.17301;-0.0669208;1.49052;-0.94155
78;-1.60025e-11;1.13376e-12;3.58497e-12;5.82475e-07;1.33255e-07;-8.78853e-08;-0.0630782;-0.549516;1.17301;-0.0669257;1.49052;-0.941548
89;-1.57329e-11;1.11517e-12;3.52218e-12;5.77503e-07;1.32048e-07;-8.70939e-08;-0.0630877;-0.549516;1.173;-0.0669285;1.49052;-0.941546
88;-1.57327e-11;1.11536e-12;3.52224e-12;5.77506e-07;1.32054e-07;-8.71058e-08;-0.0631006;-0.549515;1.173;-0.0669319;1.49052;-0.941544
89;-1.5571e-11;1.10441e-12;3.48477e-12;5.74529e-07;1.31333e-07;-8.66317e-08;-0.0631196;-0.549514;1.173;-0.0669363;1.49052;-0.941542
88;-1.54819e-11;1.0985e-12;3.46401e-12;5.72923e-07;1.30936e-07;-8.63601e-08;-0.0631365;-0.549514;1.173;-0.0669397;1.49052;-0.94154
86;-1.54817e-11;1.09874e-12;3.46401e-12;5.7291e-07;1.30937e-07;-8.6371e-08;-0.0631544;-0.549514;1.173;-0.0669421;1.49052;-0.941538
80;-1.53266e-11;1.08809e-12;3.42815e-12;5.69983e-07;1.30242e-07;-8.5924e-08;-0.0631667;-0.549515;1.173;-0.066943;1.49052;-0.941538
92;-1.53269e-11;1.08824e-12;3.42809e-12;5.69967e-07;1.30238e-07;-8.59268e-08;-0.0631763;-0.549515;1.17301;-0.0669428;1.49052;-0.941538
102;-1.50446e-11;1.06885e-12;3.36331e-12;5.64774e-07;1.28972e-07;-8.50514e-08;-0.0631885;-0.549516;1.17301;-0.0669418;1.49052;-0.941538
102;-1.50447e-11;1.06889e-12;3.3632e-12;5.6476e-07;1.28971e-07;-8.50534e-08;-0.0631923;-0.549516;1.17301;-0.0669411;1.49052;-0.941539
